subid,balanced,subtrial,social_money,nonsocial_money,exp_chosen,decision_price,reaction_time,response,Mood,AQ,MSPSS,IRI_total,IRI_FS,IRI_EC,IRI_PD,IRI_PT,BRCS,LSAS,LSAS_FEAR,LSAS_AVOIDANCE,CESD,UCLA_loneliness,BISBAS_BIS,BISBAS_BASRR,BISBAS_FS,BISBAS_BASD,RSE,STAI,UM_AFFILIATION,UM_INTIMACY,COVIDexperience_score,COVIDimpacts_score,COVIDthreat_score,COVIDpsychstress_score,MSSSF
549ea92efdf99b4ffa5fa208,0,46,0.05,0.01,1,0.05,2.121999979,2,12,26,4,78,24,26,15,13,14,54,0,6,11,57,0,0,0,0,25,45,14,40,20,66,28,8,40
549ea92efdf99b4ffa5fa208,0,47,0.04,0.02,0,0.02,4.659000158,1,12,26,4,78,24,26,15,13,14,54,0,6,11,57,0,0,0,0,25,45,14,40,20,66,28,8,40
549ea92efdf99b4ffa5fa208,0,48,0.04,0.03,0,0.03,2.674999952,2,12,26,4,78,24,26,15,13,14,54,0,6,11,57,0,0,0,0,25,45,14,40,20,66,28,8,40
549ea92efdf99b4ffa5fa208,0,49,0.03,0.02,0,0.02,3.600000143,1,12,26,4,78,24,26,15,13,14,54,0,6,11,57,0,0,0,0,25,45,14,40,20,66,28,8,40
549ea92efdf99b4ffa5fa208,0,50,0.01,0.03,0,0.03,2.41899991,2,12,26,4,78,24,26,15,13,14,54,0,6,11,57,0,0,0,0,25,45,14,40,20,66,28,8,40
55a43687fdf99b7da1908e0f,0,1,0.01,0.05,1,0.01,2.044,1,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,2,0.01,0.02,1,0.01,1.4269,2,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,3,0.01,0.02,1,0.01,1.1602,1,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,4,0.04,0.01,0,0.01,1.3787,2,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,5,0.04,0.03,0,0.03,1.3793,1,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,6,0.05,0.04,0,0.04,1.0935,1,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,7,0.04,0.01,0,0.01,0.9936,1,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,8,0.02,0.02,1,0.02,2.2022,2,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,9,0.05,0.02,0,0.02,1.0503,2,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,10,0.02,0.03,1,0.02,1.6181,2,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,11,0.02,0.04,1,0.02,1.1171,1,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,12,0.02,0.04,1,0.02,0.7842,2,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,13,0.05,0.01,0,0.01,0.617,2,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,14,0.04,0.04,1,0.04,2.1689,1,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
