,participant,balanced,avg_spent_social,avg_spent_nonsocial,total_spent_social,total_spent_nonsocial,prop_social,prop_nonsocial,moresocial,prop_moresocial,AQ,MSPSS,IRI_total,IRI_FS,IRI_EC,IRI_PD,IRI_PT,BRCS
38,5dc592c6aa431440aa755d5b,1,0.027419355,0.028333333,0.85,0.51,0.632653061,0.367346939,0,1,22,3.833333333,89,26,25,15,23,17.0
39,5dcefcd0307b8d05031d7264,1,0.0376,0.0384,0.94,0.96,0.5,0.5,0,0,16,4.083333333,77,21,28,0,28,20.0
40,5dd48444dd9a7447d224cc71,0,0.027142857,0.01375,1.14,0.11,0.84,0.16,1,1,10,7.0,73,13,28,14,18,14.0
41,5dd5db1ded7ea4574c7bc996,1,0.03,0.027586207,0.63,0.8,0.42,0.58,1,0,20,4.083333333,51,13,17,10,11,12.0
42,5de7ccc24b7cf973d7b05bfb,1,0.03,0.03,1.08,0.42,0.72,0.28,1,1,4,6.0,65,17,23,2,23,17.0
43,5dfed836265c80b4fc7ae55e,1,0.0275,0.0328,0.66,0.82,0.489795918,0.510204082,0,0,20,5.25,59,9,19,17,14,13.0
44,5e07e9301d6b46148c904a0e,1,0.025,0.026111111,0.35,0.94,0.28,0.72,0,0,27,1.25,28,14,2,3,9,15.0
45,5e0f443e8205266652153f5e,1,0.02,0.023333333,0.4,0.7,0.4,0.6,0,0,28,3.5,76,22,17,28,9,9.0
46,5e27868c5cbbcc0b3599574b,0,0.028518519,0.02826087,0.77,0.65,0.54,0.46,1,1,19,5.0,59,16,15,13,15,16.0
47,5e31740eb3f28315c5e0d347,0,0.03173913,0.028846154,0.73,0.75,0.469387755,0.530612245,1,0,27,4.416666667,61,17,20,13,11,20.0
48,5e3760815bfa436fd256b2e9,0,0.023846154,0.02125,0.62,0.51,0.52,0.48,1,1,12,5.333333333,82,18,24,19,21,15.0
49,5e426dbfbc27ad10220a4cb3,1,0.034482759,0.038095238,1.0,0.8,0.58,0.42,0,1,11,4.75,62,13,21,7,21,14.0
50,5e5e9f949ec7440200735db7,0,0.026666667,0.024782609,0.72,0.57,0.54,0.46,1,1,25,6.083333333,64,16,21,16,11,15.0
51,5e69be2cd02ab2027bff5108,1,0.025217391,0.021111111,0.58,0.57,0.46,0.54,1,0,11,6.75,64,9,18,11,26,17.0
52,5e70d4869ffb1404cb1f5070,1,0.024444444,0.022173913,0.66,0.51,0.54,0.46,1,1,15,6.0,84,24,24,15,21,14.0
53,5e76742575ad9c0506e721bb,0,0.0325,0.028965517,0.52,0.84,0.355555556,0.644444444,1,0,26,5.666666667,92,19,28,19,26,16.0
54,5e829f3ee6548e9c39cb00aa,1,0.03625,0.038076923,0.87,0.99,0.48,0.52,0,0,15,4.0,54,14,14,12,14,14.0
55,5e9b443223881d04be740737,1,0.024736842,0.024516129,0.47,0.76,0.38,0.62,1,0,34,5.833333333,83,11,24,25,23,11.0
56,5e9f55237c0db50bb0a02621,1,0.023913043,0.025555556,0.55,0.69,0.46,0.54,0,0,14,4.333333333,73,16,22,14,21,18.0
57,5ea3310bf9c4f828f0c909c5,0,0.030769231,0.029,1.2,0.29,0.795918367,0.204081633,1,1,19,5.333333333,65,16,23,12,14,15.0
58,5ebb96b6cd673a0008ace9ce,1,0.025,0.02775,0.25,1.11,0.2,0.8,0,0,16,3.25,76,16,19,22,19,12.0
