prolific_id,avg_spent_social,avg_spent_nonsocial,prop_social,AQ,MSPSS,
wtp13,0.032,0.025185,0.448979592,21,5.333,
wtp14,0.027,0.03,0.88,18,6.916,
wtp15,0.027,0.024783,0.530612245,23,5.083,
wtp16,0.026,0.023438,0.36,27,6.333,
wtp17,0.021,0.021304,0.520833333,22,4.75,
wtp18,0.018,0.0192,0.489795918,16,7,
wtp19,0.026,0.026154,0.717391304,20,5,
wtp20,0.029,0.025882,0.638297872,21,5,
wtp21,0.038,0.028684,0.174,22,4.917,
wtp22,0.02,0.022609,0.54,22,5.083,
wtp23,0.032,0.03,0.638,24,5.083,
wtp24,0.031,0.028462,0.698,14,5,
wtp25,0.028,0.027778,0.617,26,3.583,
wtp26,0.033,0.0305,0.474,25,5.917,
wtp27,0.031,0.027857,0.689,18,4.5,
wtp28,0.024,0.022069,0.408,27,5.167,
wtp29,0.033,0.031176,0.622,19,6,
wp30,0.028,0.032,0.681,12,5.417,
wtp31,0.030714,0.028235,0.292,17,1.917,
wtp32,0.034,0.027917,0.4667,21,5.417,
