,subid,subtrial,social_money,nonsocial_money,exp_chosen,decision_price,reaction_time,AQ,MSPSS,IRI_total,IRI_FS,IRI_EC,IRI_PD,IRI_PT
27,5f3ac1732efa0a74f975b1a8,28,0.04,0.02,0,0.02,3.27699995,4,6.0,36,1,9,0,26
28,5f3ac1732efa0a74f975b1a8,29,0.04,0.04,1,0.04,3.075000048,4,6.0,36,1,9,0,26
29,5f3ac1732efa0a74f975b1a8,30,0.01,0.04,1,0.01,4.274000168,4,6.0,36,1,9,0,26
30,5f3ac1732efa0a74f975b1a8,31,0.01,0.05,1,0.01,2.773999929,4,6.0,36,1,9,0,26
31,5f3ac1732efa0a74f975b1a8,32,0.05,0.01,0,0.01,1.744999886,4,6.0,36,1,9,0,26
32,5f3ac1732efa0a74f975b1a8,33,0.05,0.04,0,0.04,4.641000032,4,6.0,36,1,9,0,26
33,5f3ac1732efa0a74f975b1a8,34,0.02,0.02,1,0.02,4.092000008,4,6.0,36,1,9,0,26
34,5f3ac1732efa0a74f975b1a8,35,0.03,0.05,0,0.05,3.492000103,4,6.0,36,1,9,0,26
35,5f3ac1732efa0a74f975b1a8,36,0.01,0.05,1,0.01,3.491000175,4,6.0,36,1,9,0,26
36,5f3ac1732efa0a74f975b1a8,37,0.02,0.04,1,0.02,2.209000111,4,6.0,36,1,9,0,26
37,5f3ac1732efa0a74f975b1a8,38,0.02,0.03,1,0.02,4.672999859,4,6.0,36,1,9,0,26
38,5f3ac1732efa0a74f975b1a8,39,0.01,0.02,1,0.01,3.376999855,4,6.0,36,1,9,0,26
39,5f3ac1732efa0a74f975b1a8,40,0.03,0.03,1,0.03,2.625999928,4,6.0,36,1,9,0,26
40,5f3ac1732efa0a74f975b1a8,41,0.02,0.03,1,0.02,3.026000023,4,6.0,36,1,9,0,26
41,5f3ac1732efa0a74f975b1a8,42,0.02,0.05,1,0.02,2.826000214,4,6.0,36,1,9,0,26
42,5f3ac1732efa0a74f975b1a8,43,0.01,0.03,1,0.01,4.291999817,4,6.0,36,1,9,0,26
43,5f3ac1732efa0a74f975b1a8,44,0.04,0.03,0,0.03,3.775000095,4,6.0,36,1,9,0,26
44,5f3ac1732efa0a74f975b1a8,45,0.05,0.02,0,0.02,3.50999999,4,6.0,36,1,9,0,26
45,5f3ac1732efa0a74f975b1a8,46,0.04,0.01,1,0.04,5.424000025,4,6.0,36,1,9,0,26
46,5f3ac1732efa0a74f975b1a8,47,0.05,0.01,0,0.01,2.111999989,4,6.0,36,1,9,0,26
47,5f3ac1732efa0a74f975b1a8,48,0.03,0.05,1,0.03,4.207000017,4,6.0,36,1,9,0,26
48,5f3ac1732efa0a74f975b1a8,49,0.01,0.02,0,0.02,5.888000011,4,6.0,36,1,9,0,26
49,5f3ac1732efa0a74f975b1a8,50,0.05,0.02,0,0.02,4.539999962,4,6.0,36,1,9,0,26
0,5f53216409e6d06275ef0545,1,0.05,0.01,,,,20,6.5,72,18,20,16,18
1,5f53216409e6d06275ef0545,2,0.02,0.04,1,0.02,0.007999896999999999,20,6.5,72,18,20,16,18
2,5f53216409e6d06275ef0545,3,0.05,0.02,1,0.05,1.065999985,20,6.5,72,18,20,16,18
3,5f53216409e6d06275ef0545,4,0.03,0.05,1,0.03,0.713999987,20,6.5,72,18,20,16,18
4,5f53216409e6d06275ef0545,5,0.02,0.03,0,0.03,1.361999989,20,6.5,72,18,20,16,18
5,5f53216409e6d06275ef0545,6,0.01,0.05,0,0.05,0.958999872,20,6.5,72,18,20,16,18
6,5f53216409e6d06275ef0545,7,0.02,0.05,0,0.05,1.202000141,20,6.5,72,18,20,16,18
7,5f53216409e6d06275ef0545,8,0.05,0.01,1,0.05,0.851000071,20,6.5,72,18,20,16,18
8,5f53216409e6d06275ef0545,9,0.01,0.04,0,0.04,0.998000145,20,6.5,72,18,20,16,18
9,5f53216409e6d06275ef0545,10,0.02,0.04,1,0.02,1.944999933,20,6.5,72,18,20,16,18
10,5f53216409e6d06275ef0545,11,0.03,0.02,1,0.03,0.924000025,20,6.5,72,18,20,16,18
11,5f53216409e6d06275ef0545,12,0.01,0.02,0,0.02,1.151000023,20,6.5,72,18,20,16,18
12,5f53216409e6d06275ef0545,13,0.05,0.01,1,0.05,0.765000105,20,6.5,72,18,20,16,18
13,5f53216409e6d06275ef0545,14,0.03,0.01,1,0.03,0.775000095,20,6.5,72,18,20,16,18
14,5f53216409e6d06275ef0545,15,0.05,0.03,1,0.05,0.8500001429999999,20,6.5,72,18,20,16,18
15,5f53216409e6d06275ef0545,16,0.01,0.02,0,0.02,1.042000055,20,6.5,72,18,20,16,18
16,5f53216409e6d06275ef0545,17,0.01,0.05,0,0.05,0.867000103,20,6.5,72,18,20,16,18
17,5f53216409e6d06275ef0545,18,0.01,0.02,1,0.01,1.651000023,20,6.5,72,18,20,16,18
18,5f53216409e6d06275ef0545,19,0.05,0.01,1,0.05,0.628999949,20,6.5,72,18,20,16,18
19,5f53216409e6d06275ef0545,20,0.05,0.03,1,0.05,1.102999926,20,6.5,72,18,20,16,18
20,5f53216409e6d06275ef0545,21,0.05,0.02,1,0.05,1.083000183,20,6.5,72,18,20,16,18
21,5f53216409e6d06275ef0545,22,0.03,0.02,1,0.03,0.982000113,20,6.5,72,18,20,16,18
22,5f53216409e6d06275ef0545,23,0.02,0.03,0,0.03,1.411999941,20,6.5,72,18,20,16,18
23,5f53216409e6d06275ef0545,24,0.05,0.03,1,0.05,0.786000013,20,6.5,72,18,20,16,18
24,5f53216409e6d06275ef0545,25,0.02,0.02,1,0.02,1.183000088,20,6.5,72,18,20,16,18
25,5f53216409e6d06275ef0545,26,0.01,0.04,0,0.04,1.068000078,20,6.5,72,18,20,16,18
26,5f53216409e6d06275ef0545,27,0.05,0.01,1,0.05,0.815999985,20,6.5,72,18,20,16,18
27,5f53216409e6d06275ef0545,28,0.05,0.02,1,0.05,0.7619998459999999,20,6.5,72,18,20,16,18
28,5f53216409e6d06275ef0545,29,0.03,0.03,1,0.03,1.239000082,20,6.5,72,18,20,16,18
29,5f53216409e6d06275ef0545,30,0.03,0.01,1,0.03,0.661999941,20,6.5,72,18,20,16,18
30,5f53216409e6d06275ef0545,31,0.01,0.03,0,0.03,1.096999884,20,6.5,72,18,20,16,18
31,5f53216409e6d06275ef0545,32,0.02,0.02,0,0.02,1.036000013,20,6.5,72,18,20,16,18
32,5f53216409e6d06275ef0545,33,0.05,0.04,0,0.04,1.279000044,20,6.5,72,18,20,16,18
33,5f53216409e6d06275ef0545,34,0.04,0.03,1,0.04,1.154000044,20,6.5,72,18,20,16,18
34,5f53216409e6d06275ef0545,35,0.04,0.01,1,0.04,0.903999805,20,6.5,72,18,20,16,18
