participant,sum_spent,S_NS,avg_spent,prop,AQ,MSPSS,IRI_total,IRI_FS,IRI_EC,IRI_PD,IRI_PT,moresocial,prop_moresocial
60edd81b455433dae20025fd,0.74,Non-social,0.032173913,0.46,26,3.333333333,54,16,14,11,13,1,1
60f42d83362792b0bc8d3d47,0.58,Non-social,0.02,0.58,26,4.666666667,67,11,22,16,18,0,0
wtp01,0.28,Non-social,0.028,0.208333333,14,6.25,59,5,24,7,23,1,1
wtp02,0.61,Non-social,0.026521739,0.469387755,11,5.9166,64,15,15,14,20,0,1
wtp03,0.55,Non-social,0.02037037,0.551020408,26,6.1667,72,22,18,13,19,0,0
wtp04,0.35,Non-social,0.023333333,0.306122449,23,5.666,71,16,22,19,14,1,1
wtp05,0.2,Non-social,0.025,0.163265306,21,7,93,27,27,13,23,1,1
wtp06,0.3,Non-social,0.033333333,0.183673469,20,6.75,92,24,28,12,28,0,1
wtp07,0.98,Non-social,0.030625,0.653061224,27,3.75,59,16,17,12,14,1,0
wtp08,0.45,Non-social,0.0225,0.408163265,17,4.916,46,6,15,9,16,1,1
wtp09,0.5,Non-social,0.02173913,0.489361702,23,2.833,57,14,12,13,18,1,1
wtp10,0.3,Non-social,0.02,0.319148936,15,5.833,80,18,25,20,17,1,1
wtp11,0.26,Non-social,0.01625,0.326530612,18,6.5,76,24,24,16,12,1,1
wtp12,0.21,Non-social,0.019090909,0.239130435,19,6.083,76,24,24,16,12,1,1
wtp13,0.68,Non-social,0.025185185,0.551020408,21,5.333,70,16,22,11,21,1,0
wtp14,0.18,Non-social,0.03,0.12,18,6.916,72,16,25,14,17,0,1
wtp15,0.57,Non-social,0.024782609,0.469387755,23,5.083,74,20,24,14,16,1,1
wtp16,0.75,Non-social,0.0234375,0.64,27,6.333,90,27,28,12,23,1,0
wtp17,0.49,Non-social,0.021304348,0.479166667,22,4.75,64,10,19,11,24,0,1
wtp18,0.48,Non-social,0.0192,0.510204082,16,7,71,18,25,6,22,0,0
wtp19,0.34,Non-social,0.026153846,0.282608696,20,5,49,9,17,5,18,1,1
wtp20,0.44,Non-social,0.025882353,0.361702128,21,5,84,19,27,10,28,1,1
wtp21,1.09,Non-social,0.028684211,0.826086957,22,4.917,84,26,21,20,17,1,0
wtp22,0.52,Non-social,0.022608696,0.46,22,5.083,80,20,19,19,22,0,1
wtp23,0.51,Non-social,0.03,0.361702128,24,5.083,98,29,22,15,32,1,1
wtp24,0.37,Non-social,0.028461538,0.302325581,14,5,86,19,27,19,21,1,1
wtp25,0.5,Non-social,0.027777778,0.382978723,26,3.583,83,21,23,16,23,1,1
wtp26,0.61,Non-social,0.0305,0.526315789,25,5.917,83,28,22,13,20,1,0
wtp27,0.39,Non-social,0.027857143,0.311111111,18,4.5,38,6,16,5,7,1,1
wtp28,0.64,Non-social,0.022068966,0.591836735,27,5.167,85,25,25,17,18,1,0
wtp29,0.53,Non-social,0.031176471,0.377777778,19,6,54,11,16,7,20,1,1
wtp30,0.48,Non-social,0.032,0.319148936,12,5.417,67,20,18,10,19,0,1
wtp31,0.96,Non-social,0.028235294,0.708333333,17,1.917,25,4,5,2,14,1,0
wtp32,0.67,Non-social,0.027916667,0.533333333,21,5.417,39,10,11,7,11,1,0
