subid,subtrial,social_money,nonsocial_money,exp_chosen,decision_price,reaction_time,AQ,MSPSS,IRI_total,IRI_FS,IRI_EC,IRI_PD,IRI_PT
6101667971d68405d105698a,36,0.04,0.01,0,0.01,2.65,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,37,0.03,0.03,1,0.03,3.3271,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,38,0.01,0.02,0,0.02,2.452,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,39,0.04,0.03,1,0.04,3.1847,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,40,0.01,0.01,0,0.01,3.033,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,41,0.05,0.03,0,0.03,3.1115,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,42,0.04,0.05,1,0.04,2.6996,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,43,0.04,0.02,0,0.02,2.1419,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,44,0.05,0.04,0,0.04,1.5366,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,45,0.02,0.02,0,0.02,2.05,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,46,0.04,0.02,1,0.04,3.4018,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,47,0.02,0.01,1,0.02,4.3651,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,48,0.01,0.03,0,0.03,2.8802,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,49,0.04,0.01,1,0.04,2.1652,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,50,0.03,0.03,1,0.03,2.1643,24,4.416666667,76,25,18,14,19
61111442bb1b255927718949,1,0.04,0.02,0,0.02,4.1598,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,2,0.02,0.05,1,0.02,2.8348,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,3,0.04,0.01,0,0.01,2.849,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,4,0.03,0.01,0,0.01,3.5942,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,5,0.02,0.03,1,0.02,2.7144,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,6,0.05,0.05,1,0.05,2.9727,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,7,0.02,0.01,0,0.01,2.2024,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,8,0.03,0.05,1,0.03,2.791,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,9,0.01,0.02,1,0.01,2.6837,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,10,0.02,0.04,1,0.02,2.3489,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,11,0.04,0.03,1,0.04,4.5261,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,12,0.01,0.04,1,0.01,2.0873,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,13,0.02,0.02,1,0.02,3.4874,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,14,0.05,0.04,0,0.04,4.244,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,15,0.04,0.05,1,0.04,4.3266,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,16,0.03,0.03,1,0.03,5.0938,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,17,0.05,0.03,0,0.03,3.788,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,18,0.04,0.03,0,0.03,3.148,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,19,0.01,0.02,1,0.01,4.9869,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,20,0.05,0.01,0,0.01,9.3677,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,21,0.05,0.01,0,0.01,4.6953,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,22,0.03,0.02,1,0.03,4.9184,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,23,0.04,0.02,0,0.02,5.0286,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,24,0.05,0.04,0,0.04,4.0617,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,25,0.04,0.01,0,0.01,5.3941,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,26,0.05,0.03,0,0.03,6.5808,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,27,0.01,0.03,1,0.01,3.7829,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,28,0.02,0.01,0,0.01,2.9312,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,29,0.02,0.02,0,0.02,7.5585,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,30,0.01,0.03,1,0.01,3.5553,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,31,0.03,0.05,0,0.05,3.1009,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,32,0.03,0.04,1,0.03,3.4136,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,33,0.04,0.04,0,0.04,2.2896,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,34,0.05,0.02,0,0.02,4.8719,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,35,0.04,0.05,1,0.04,4.2036,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,36,0.04,0.04,1,0.04,5.2052,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,37,0.01,0.05,1,0.01,2.2524,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,38,0.03,0.01,0,0.01,5.2031,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,39,0.02,0.04,1,0.02,4.4096,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,40,0.01,0.04,1,0.01,3.3223,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,41,0.05,0.02,0,0.02,3.6822,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,42,0.01,0.01,0,0.01,2.517,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,43,0.01,0.01,0,0.01,3.4653,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,44,0.03,0.03,1,0.03,3.2532,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,45,0.05,0.05,1,0.05,2.8436,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,46,0.01,0.05,1,0.01,5.9147,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,47,0.03,0.02,0,0.02,3.6896,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,48,0.02,0.05,1,0.02,2.8155,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,49,0.02,0.03,1,0.02,3.8431,25,5.166666667,58,15,18,11,14
61111442bb1b255927718949,50,0.03,0.04,1,0.03,1.655,25,5.166666667,58,15,18,11,14
60ff2035293107014b9770e8,1,0.05,0.02,0,0.02,2.6915,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,2,0.04,0.01,1,0.04,2.12,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,3,0.05,0.01,0,0.01,3.6399,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,4,0.05,0.05,1,0.05,2.8081,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,5,0.01,0.02,0,0.02,2.8578,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,6,0.03,0.02,1,0.03,2.1448,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,7,0.03,0.03,1,0.03,2.9031,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,8,0.02,0.01,0,0.01,1.5059,32,5.333333333,59,17,20,8,14
60ff2035293107014b9770e8,9,0.02,0.03,0,0.03,2.9182,32,5.333333333,59,17,20,8,14
